         Estimate  Std. Error  t-value  Pr(>|t|)    
10046 -0.03097756  0.02756414  -1.1238 0.2610827    
12053 -0.20851613  0.02843129  -7.3340 2.234e-13 ***
12060 -0.37893371  0.02760164 -13.7287 < 2.2e-16 ***
12061 -0.37568596  0.02760995 -13.6069 < 2.2e-16 ***
12062 -0.34685669  0.02762588 -12.5555 < 2.2e-16 ***
12063 -0.28985280  0.02760961 -10.4983 < 2.2e-16 ***
12064 -0.25023013  0.02760981  -9.0631 < 2.2e-16 ***
12065 -0.32269466  0.02762597 -11.6808 < 2.2e-16 ***
12066 -0.28381241  0.02763171 -10.2713 < 2.2e-16 ***
12067 -0.39109939  0.02758864 -14.1761 < 2.2e-16 ***
12068 -0.26069388  0.02761561  -9.4401 < 2.2e-16 ***
12069 -0.32371769  0.02761817 -11.7212 < 2.2e-16 ***
12070 -0.26311504  0.02759574  -9.5346 < 2.2e-16 ***
12071 -0.37676633  0.02759708 -13.6524 < 2.2e-16 ***
12072 -0.35892163  0.02760511 -13.0020 < 2.2e-16 ***
12073 -0.24198713  0.02759697  -8.7686 < 2.2e-16 ***
13051 -0.17284201  0.03287211  -5.2580 1.456e-07 ***
13052 -0.09594144  0.03286288  -2.9194 0.0035065 ** 
13053 -0.22391428  0.03284228  -6.8179 9.240e-12 ***
13054 -0.26288619  0.03285036  -8.0025 1.110e-15 ***
13055 -0.22532866  0.03287993  -6.8531 7.228e-12 ***
13056 -0.28318925  0.03288298  -8.6120 < 2.2e-16 ***
13057 -0.15472807  0.03280719  -4.7163 2.402e-06 ***
13058 -0.11446944  0.03288279  -3.4811 0.0004993 ***
13059 -0.18557400  0.03285139  -5.6489 1.615e-08 ***
13060 -0.25640838  0.03283704  -7.8085 5.773e-15 ***
13061 -0.15444970  0.03279540  -4.7095 2.483e-06 ***
13062 -0.15295172  0.03283361  -4.6584 3.187e-06 ***
14511 -0.04484673  0.03281733  -1.3666 0.1717644    
14521 -0.12931284  0.02765419  -4.6761 2.924e-06 ***
14522 -0.00022117  0.02759557  -0.0080 0.9936053    
14523 -0.12565812  0.02762208  -4.5492 5.385e-06 ***
14524 -0.04286908  0.02756813  -1.5550 0.1199406    
14625 -0.09565236  0.02758786  -3.4672 0.0005259 ***
14626 -0.04573318  0.02761465  -1.6561 0.0976975 .  
14627 -0.13048844  0.02758271  -4.7308 2.236e-06 ***
14628 -0.11984639  0.03039970  -3.9424 8.069e-05 ***
14713 -0.02268867  0.02843508  -0.7979 0.4249220    
14729 -0.06967866  0.02759867  -2.5247 0.0115793 *  
14730 -0.14718209  0.02760417  -5.3319 9.720e-08 ***
15001 -0.15527772  0.03794950  -4.0917 4.282e-05 ***
15081 -0.26530254  0.02757577  -9.6209 < 2.2e-16 ***
15082 -0.13892508  0.03598999  -3.8601 0.0001133 ***
15083  0.00500071  0.03593163   0.1392 0.8893136    
15084  0.01825738  0.03596039   0.5077 0.6116581    
15085  0.02111238  0.03593169   0.5876 0.5568210    
15086 -0.29204967  0.03594640  -8.1246 4.441e-16 ***
15087  0.05854986  0.03599124   1.6268 0.1037837    
15088 -0.06737970  0.03594563  -1.8745 0.0608630 .  
15089 -0.05486260  0.03600009  -1.5240 0.1275194    
15090 -0.24717781  0.02756446  -8.9673 < 2.2e-16 ***
15091 -0.29645853  0.03593712  -8.2494 2.220e-16 ***
16051 -0.11485542  0.03788259  -3.0319 0.0024304 ** 
16056 -0.02481847  0.03283035  -0.7560 0.4496725    
16061  0.00542448  0.02761453   0.1964 0.8442692    
16062  0.03738955  0.02759995   1.3547 0.1755143    
16063  0.00633335  0.02760850   0.2294 0.8185591    
16064  0.00821822  0.02759845   0.2978 0.7658723    
16065 -0.06980567  0.02758053  -2.5310 0.0113746 *  
16066 -0.19357088  0.02768371  -6.9922 2.705e-12 ***
16067  0.00558516  0.02759549   0.2024 0.8396087    
