        Estimate Std. Error  t-value  Pr(>|t|)    
9363   0.1025059  0.0243139   4.2159 2.487e-05 ***
9371   0.1173245  0.0243176   4.8247 1.402e-06 ***
9372   0.1225592  0.0243339   5.0366 4.740e-07 ***
9373   0.0823444  0.0243253   3.3851 0.0007114 ***
9374   0.0590315  0.0243623   2.4231 0.0153901 *  
9375   0.1018662  0.0242784   4.1958 2.720e-05 ***
9376   0.0783596  0.0243091   3.2235 0.0012665 ** 
9377   0.0975745  0.0243671   4.0043 6.219e-05 ***
9461   0.0733491  0.0267446   2.7426 0.0060959 ** 
9462   0.0719591  0.0242890   2.9626 0.0030503 ** 
9463   0.0854816  0.0242693   3.5222 0.0004280 ***
9464   0.0311255  0.0243494   1.2783 0.2011476    
9471   0.0589845  0.0243142   2.4259 0.0152692 *  
9472   0.0524795  0.0242841   2.1611 0.0306902 *  
9473   0.0550480  0.0242794   2.2673 0.0233734 *  
9474   0.0997886  0.0243094   4.1049 4.044e-05 ***
9475   0.0269078  0.0243881   1.1033 0.2698894    
9476  -0.0407125  0.0243190  -1.6741 0.0941100 .  
9477   0.1388998  0.0242866   5.7192 1.070e-08 ***
9478   0.0759959  0.0242804   3.1299 0.0017485 ** 
9479   0.0132337  0.0243898   0.5426 0.5874104    
9561   0.1434679  0.0243449   5.8931 3.789e-09 ***
9562   0.0435150  0.0242752   1.7926 0.0730415 .  
9563   0.0445956  0.0243021   1.8351 0.0664981 .  
9564   0.0803929  0.0242903   3.3097 0.0009341 ***
9565   0.0964085  0.0243338   3.9619 7.435e-05 ***
9571   0.0937518  0.0242868   3.8602 0.0001133 ***
9572   0.0361579  0.0242778   1.4893 0.1363973    
9573   0.0347605  0.0242950   1.4308 0.1524977    
9574   0.0601729  0.0242916   2.4771 0.0132451 *  
9575   0.0879236  0.0243110   3.6166 0.0002985 ***
9576   0.0814107  0.0242763   3.3535 0.0007980 ***
9577   0.1266735  0.0242759   5.2181 1.808e-07 ***
9661   0.1289860  0.0243203   5.3036 1.135e-07 ***
9662   0.0669638  0.0242909   2.7567 0.0058380 ** 
9663   0.2060041  0.0242850   8.4828 < 2.2e-16 ***
9671   0.1180967  0.0242979   4.8604 1.172e-06 ***
9672   0.0290819  0.0242853   1.1975 0.2311083    
9673   0.0626766  0.0242979   2.5795 0.0098941 ** 
9674   0.0601503  0.0242823   2.4771 0.0132448 *  
9675   0.0699036  0.0243248   2.8738 0.0040562 ** 
9676   0.0868926  0.0243238   3.5723 0.0003538 ***
9677   0.1107193  0.0242793   4.5602 5.109e-06 ***
9678   0.1003189  0.0243053   4.1274 3.668e-05 ***
9679   0.1993672  0.0242904   8.2077 2.220e-16 ***
9761   0.1699179  0.0243683   6.9729 3.105e-12 ***
9762   0.1246303  0.0246131   5.0636 4.115e-07 ***
9764   0.1250586  0.0245125   5.1018 3.364e-07 ***
9771   0.1369167  0.0243630   5.6199 1.911e-08 ***
9772   0.1551785  0.0243731   6.3668 1.930e-10 ***
9773   0.1534259  0.0243271   6.3068 2.849e-10 ***
9774   0.1729690  0.0243419   7.1058 1.196e-12 ***
9775   0.1563496  0.0243250   6.4275 1.297e-10 ***
9777   0.1326532  0.0245031   5.4137 6.172e-08 ***
9778   0.1290049  0.0244657   5.2729 1.343e-07 ***
9779   0.1302732  0.0242760   5.3663 8.035e-08 ***
10041  0.0278380  0.0243106   1.1451 0.2521686    
10042  0.0537129  0.0243236   2.2083 0.0272258 *  
10043  0.0080206  0.0243023   0.3300 0.7413737    
10044  0.0479608  0.0243181   1.9722 0.0485838 *  
10045 -0.0162337  0.0243240  -0.6674 0.5045191    
10046 -0.0124281  0.0243466  -0.5105 0.6097250    
12053 -0.1800618  0.0250793  -7.1797 6.988e-13 ***
12060 -0.3465143  0.0243346 -14.2395 < 2.2e-16 ***
12061 -0.3487998  0.0243071 -14.3497 < 2.2e-16 ***
12062 -0.3083143  0.0242903 -12.6929 < 2.2e-16 ***
12063 -0.2445603  0.0243401 -10.0476 < 2.2e-16 ***
12064 -0.2218452  0.0243056  -9.1273 < 2.2e-16 ***
12065 -0.2817348  0.0243522 -11.5692 < 2.2e-16 ***
12066 -0.2591159  0.0243050 -10.6610 < 2.2e-16 ***
12067 -0.3654427  0.0242985 -15.0397 < 2.2e-16 ***
12068 -0.2164446  0.0243334  -8.8950 < 2.2e-16 ***
12069 -0.2840869  0.0243109 -11.6856 < 2.2e-16 ***
12070 -0.2265847  0.0242979  -9.3253 < 2.2e-16 ***
12071 -0.3562728  0.0243189 -14.6501 < 2.2e-16 ***
12072 -0.3214399  0.0243130 -13.2209 < 2.2e-16 ***
12073 -0.2114259  0.0243220  -8.6928 < 2.2e-16 ***
13051 -0.1366716  0.0289583  -4.7196 2.363e-06 ***
13052 -0.0524405  0.0289280  -1.8128 0.0698638 .  
13053 -0.1809203  0.0289255  -6.2547 3.983e-10 ***
13054 -0.2346608  0.0289236  -8.1131 4.441e-16 ***
13055 -0.1874780  0.0289530  -6.4752 9.466e-11 ***
13056 -0.2459039  0.0288958  -8.5100 < 2.2e-16 ***
13057 -0.1106746  0.0289776  -3.8193 0.0001338 ***
13058 -0.0891737  0.0289298  -3.0824 0.0020533 ** 
13059 -0.1298790  0.0289657  -4.4839 7.329e-06 ***
13060 -0.2227382  0.0289291  -7.6995 1.377e-14 ***
13061 -0.0900453  0.0290671  -3.0978 0.0019494 ** 
13062 -0.1236418  0.0289107  -4.2767 1.897e-05 ***
14511 -0.0680527  0.0288818  -2.3563 0.0184604 *  
14521 -0.1735332  0.0243793  -7.1180 1.095e-12 ***
14522 -0.0155639  0.0242860  -0.6409 0.5216151    
14523 -0.1463905  0.0243099  -6.0218 1.724e-09 ***
14524 -0.0449125  0.0242840  -1.8495 0.0643901 .  
14625 -0.0897262  0.0243129  -3.6905 0.0002238 ***
14626 -0.0523737  0.0243099  -2.1544 0.0312070 *  
14627 -0.1094806  0.0242770  -4.5096 6.494e-06 ***
14628 -0.1303733  0.0268197  -4.8611 1.167e-06 ***
14713  0.0041640  0.0250649   0.1661 0.8680549    
14729 -0.0476099  0.0242937  -1.9598 0.0500237 .  
14730 -0.1169266  0.0242755  -4.8166 1.460e-06 ***
15001 -0.0846428  0.0334402  -2.5312 0.0113683 *  
15081 -0.2356656  0.0242679  -9.7110 < 2.2e-16 ***
15082 -0.0754859  0.0317299  -2.3790 0.0173588 *  
15083  0.0490496  0.0316089   1.5518 0.1207187    
15084  0.0513551  0.0316219   1.6240 0.1043678    
15085  0.0456534  0.0316035   1.4446 0.1485792    
15086 -0.2396439  0.0316622  -7.5688 3.775e-14 ***
15087  0.0742909  0.0316132   2.3500 0.0187736 *  
15088 -0.0190034  0.0316530  -0.6004 0.5482615    
15089 -0.0015296  0.0316784  -0.0483 0.9614892    
15090 -0.2159643  0.0242644  -8.9005 < 2.2e-16 ***
15091 -0.2455289  0.0317007  -7.7452 9.548e-15 ***
16051 -0.0906805  0.0333107  -2.7223 0.0064836 ** 
16056 -0.0157268  0.0289004  -0.5442 0.5863231    
16061 -0.0088246  0.0243082  -0.3630 0.7165814    
16062  0.0390351  0.0242840   1.6074 0.1079571    
16063  0.0049648  0.0242822   0.2045 0.8379925    
16064  0.0096296  0.0242490   0.3971 0.6912837    
16065 -0.0523380  0.0242640  -2.1570 0.0310041 *  
16066 -0.2006355  0.0243173  -8.2507 2.220e-16 ***
16067  0.0038944  0.0242686   0.1605 0.8725104    
16068  0.0314903  0.0242631   1.2979 0.1943339    
16069 -0.1888622  0.0242795  -7.7787 7.327e-15 ***
