         Estimate  Std. Error  t-value  Pr(>|t|)    
9762   0.13491594  0.02440212   5.5289 3.223e-08 ***
9764   0.13304692  0.02434006   5.4662 4.599e-08 ***
9771   0.14571963  0.02420251   6.0208 1.735e-09 ***
9772   0.16347721  0.02421711   6.7505 1.474e-11 ***
9773   0.16330728  0.02417469   6.7553 1.425e-11 ***
9774   0.18360216  0.02418277   7.5923 3.153e-14 ***
9775   0.16339657  0.02416791   6.7609 1.371e-11 ***
9777   0.13890615  0.02433225   5.7087 1.138e-08 ***
9778   0.13724427  0.02429989   5.6479 1.624e-08 ***
9779   0.13542109  0.02411704   5.6152 1.964e-08 ***
10041  0.02292162  0.02415694   0.9489 0.3426905    
10042  0.04707396  0.02417347   1.9473 0.0514940 .  
10043  0.00512434  0.02414466   0.2122 0.8319237    
10044  0.03958881  0.02416351   1.6384 0.1013442    
10045 -0.01765271  0.02416915  -0.7304 0.4651568    
10046 -0.02074423  0.02420454  -0.8570 0.3914236    
12053 -0.18417960  0.02491191  -7.3932 1.432e-13 ***
12060 -0.35327770  0.02418761 -14.6057 < 2.2e-16 ***
12061 -0.35301737  0.02414914 -14.6182 < 2.2e-16 ***
12062 -0.31114376  0.02413004 -12.8945 < 2.2e-16 ***
12063 -0.24970118  0.02418673 -10.3239 < 2.2e-16 ***
12064 -0.22894973  0.02415165  -9.4797 < 2.2e-16 ***
12065 -0.28677691  0.02420560 -11.8475 < 2.2e-16 ***
12066 -0.26275795  0.02414985 -10.8803 < 2.2e-16 ***
12067 -0.37174284  0.02413539 -15.4024 < 2.2e-16 ***
12068 -0.22153231  0.02418570  -9.1596 < 2.2e-16 ***
12069 -0.28973833  0.02415482 -11.9951 < 2.2e-16 ***
12070 -0.23234793  0.02416081  -9.6167 < 2.2e-16 ***
12071 -0.36060279  0.02415885 -14.9263 < 2.2e-16 ***
12072 -0.32471431  0.02416046 -13.4399 < 2.2e-16 ***
12073 -0.21995708  0.02419157  -9.0923 < 2.2e-16 ***
13051 -0.14907428  0.02884933  -5.1673 2.374e-07 ***
13052 -0.06651711  0.02881037  -2.3088 0.0209552 *  
13053 -0.19205985  0.02879575  -6.6697 2.563e-11 ***
13054 -0.24402791  0.02878210  -8.4785 < 2.2e-16 ***
13055 -0.19749880  0.02880278  -6.8569 7.035e-12 ***
13056 -0.25327504  0.02873326  -8.8147 < 2.2e-16 ***
13057 -0.12331506  0.02891229  -4.2651 1.998e-05 ***
13058 -0.09870107  0.02879841  -3.4273 0.0006096 ***
13059 -0.14622584  0.02889296  -5.0610 4.172e-07 ***
13060 -0.23051283  0.02877302  -8.0114 1.110e-15 ***
13061 -0.10492643  0.02913652  -3.6012 0.0003168 ***
13062 -0.13790575  0.02878835  -4.7903 1.665e-06 ***
14511 -0.07118672  0.02870449  -2.4800 0.0131388 *  
14521 -0.17328445  0.02419881  -7.1609 8.016e-13 ***
14522 -0.01444295  0.02413206  -0.5985 0.5495087    
14523 -0.14197550  0.02412832  -5.8842 4.000e-09 ***
14524 -0.04279750  0.02413098  -1.7736 0.0761375 .  
14625 -0.09182045  0.02416054  -3.8004 0.0001444 ***
14626 -0.05246498  0.02415801  -2.1717 0.0298751 *  
14627 -0.11055262  0.02412009  -4.5834 4.574e-06 ***
14628 -0.13012745  0.02665084  -4.8827 1.047e-06 ***
14713 -0.00082849  0.02488876  -0.0333 0.9734450    
14729 -0.04724354  0.02413774  -1.9572 0.0503183 .  
14730 -0.11940628  0.02411625  -4.9513 7.373e-07 ***
15001 -0.08231108  0.03323085  -2.4769 0.0132511 *  
15081 -0.23862738  0.02412485  -9.8914 < 2.2e-16 ***
