         Estimate  Std. Error  t-value  Pr(>|t|)    
9678   0.08081803  0.02750015   2.9388 0.0032946 ** 
9679   0.17271650  0.02750790   6.2788 3.412e-10 ***
9761   0.19450093  0.02756877   7.0551 1.725e-12 ***
9762   0.17103382  0.02781578   6.1488 7.807e-10 ***
9764   0.16477641  0.02763808   5.9619 2.493e-09 ***
9771   0.15770863  0.02757547   5.7192 1.070e-08 ***
9772   0.17878918  0.02757016   6.4849 8.880e-11 ***
9773   0.17096894  0.02755486   6.2047 5.481e-10 ***
9774   0.19331421  0.02753751   7.0200 2.218e-12 ***
9775   0.17090140  0.02753413   6.2069 5.404e-10 ***
9777   0.16141733  0.02761135   5.8460 5.034e-09 ***
9778   0.16234170  0.02758848   5.8844 3.995e-09 ***
9779   0.13884496  0.02758235   5.0338 4.808e-07 ***
10041  0.00123664  0.02752529   0.0449 0.9641652    
10042  0.02773534  0.02753639   1.0072 0.3138267    
10043 -0.01461139  0.02751223  -0.5311 0.5953583    
10044  0.00698887  0.02753473   0.2538 0.7996344    
10045 -0.03049113  0.02753550  -1.1073 0.2681475    
10046 -0.02792437  0.02751832  -1.0148 0.3102222    
12053 -0.21263663  0.02837500  -7.4938 6.684e-14 ***
12060 -0.38640888  0.02753056 -14.0356 < 2.2e-16 ***
12061 -0.38366791  0.02754360 -13.9295 < 2.2e-16 ***
12062 -0.34284502  0.02754598 -12.4463 < 2.2e-16 ***
12063 -0.29572560  0.02758101 -10.7221 < 2.2e-16 ***
12064 -0.26124541  0.02755237  -9.4818 < 2.2e-16 ***
12065 -0.32949097  0.02755287 -11.9585 < 2.2e-16 ***
12066 -0.27859987  0.02753181 -10.1192 < 2.2e-16 ***
12067 -0.40241228  0.02752064 -14.6222 < 2.2e-16 ***
12068 -0.26709034  0.02753279  -9.7008 < 2.2e-16 ***
12069 -0.32680174  0.02759714 -11.8419 < 2.2e-16 ***
12070 -0.26439645  0.02750711  -9.6119 < 2.2e-16 ***
12071 -0.37654829  0.02754462 -13.6705 < 2.2e-16 ***
12072 -0.35353009  0.02757529 -12.8205 < 2.2e-16 ***
12073 -0.24658111  0.02751809  -8.9607 < 2.2e-16 ***
13051 -0.17572249  0.03273574  -5.3679 7.965e-08 ***
13052 -0.10458738  0.03278931  -3.1897 0.0014243 ** 
13053 -0.22106362  0.03275451  -6.7491 1.488e-11 ***
13054 -0.26203392  0.03275315  -8.0003 1.332e-15 ***
13055 -0.23839273  0.03277835  -7.2729 3.519e-13 ***
